                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-macos-23.7.2"                                 "CRMATH"                               "20240527"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                           period_minutes                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                              donor_index                         point_mass_index 
                                       1                                     1823                  1.0000000000000000E+003                  3.0000000000000000E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998648681E-001                  9.9831562473250468E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999998648681E-001                  9.9831562473250468E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5854164863596534E+000                 -3.9803653879659340E+000                 -1.6383625058377760E+000                  6.8908838980343665E+000                  0.0000000000000000E+000                  2.0865916639319018E+001                  5.0379450474360601E+000                  6.5014156111920967E+000                  1.3380205271319030E+000                  5.0000000000000000E-001                  4.0424834363361315E+000                  2.4699976706046139E-035                  9.8613577556125809E-001                  6.6725609802131393E-005                  1.2515829460673373E-004                  5.4971012964773873E-005                  1.2836445713922364E-004                  6.0796043222169073E-008                  1.4792002972151089E-001                                        0                                        6                  1.0000000000000000E+000                  1.0000000000000000E+003                  5.7437329323567532E+000                  1.1088979184860978E-001                  1.2230666128981647E+003                  1.8345999193472471E+002                  2.5758280327152019E-002                  6.0452007866840553E-002                 -1.0726897331963754E-001                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.8142381888159382E+050                 -8.4108738814876618E+036                  0.0000000000000000E+000                 -8.4108738814876618E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       2                                      925                  2.2000000000000000E+003                  3.0791812460476247E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892119E-001                  9.9802395345626993E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892119E-001                  9.9802395345626993E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5852163589996655E+000                 -3.9811626283386872E+000                 -1.6383608713041784E+000                  6.8908806289671709E+000                  0.0000000000000000E+000                  2.0866280558795243E+001                  5.0381663031599127E+000                  6.5015460282275477E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012964773894E-005                  1.2836445713922364E-004                  6.0796043222169100E-008                  1.4792002972151083E-001                                        0                                        4                  2.0000000000000000E+000                  2.2000000000000000E+003                  5.7241240878631343E+000                  1.1063726620371372E-001                  1.2244616204691390E+003                  1.8366924307037081E+002                  2.5699621849734122E-002                  6.0314342514445653E-002                 -1.0522797873826981E-001                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.8110319767842224E+050                 -8.4665607009506193E+036                  0.0000000000000000E+000                 -8.4665607009506193E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       3                                      489                  3.6400000000000000E+003                  3.1583624920952493E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9808359748586484E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9808359748586484E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5847321006548101E+000                 -3.9830999443425896E+000                 -1.6383610126164183E+000                  6.8908809115916512E+000                  0.0000000000000000E+000                  2.0866553039811279E+001                  5.0383319725636699E+000                  6.5016429309036639E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        3                  3.0000000000000000E+000                  3.6400000000000000E+003                  5.7004646654024151E+000                  1.1033219241142667E-001                  1.2261532993734907E+003                  1.8392299490602360E+002                  2.5628757109786494E-002                  6.0148030332017884E-002                 -1.0275418322654449E-001                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.8071536986790177E+050                 -8.5343900808993794E+036                  0.0000000000000000E+000                 -8.5343900808993794E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       4                                      430                  5.3680000000000000E+003                  3.2375437381428744E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9811163316240159E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9811163316240159E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5845193397405182E+000                 -3.9839646710337790E+000                 -1.6383678541334283E+000                  6.8908945946256708E+000                  0.0000000000000000E+000                  2.0866554388275571E+001                  5.0383327940588973E+000                  6.5016431876933325E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  4.0000000000000000E+000                  5.3680000000000000E+003                  5.6718851100128029E+000                  1.0996311305828904E-001                  1.2282093014176521E+003                  1.8423139521264781E+002                  2.5543024696706839E-002                  5.9946825265370957E-002                 -9.9756856016861309E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.8024545698447891E+050                 -8.6172689322031869E+036                  0.0000000000000000E+000                 -8.6172689322031869E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       5                                      430                  7.4416000000000004E+003                  3.3167249841904991E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9811947505089305E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9811947505089305E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5845330990346560E+000                 -3.9839089290075198E+000                 -1.6383675017085750E+000                  6.8908938897759642E+000                  0.0000000000000000E+000                  2.0866554412081772E+001                  5.0383328105799032E+000                  6.5016429150872410E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  5.0000000000000000E+000                  7.4416000000000004E+003                  5.6373136675972129E+000                  1.0951582427897752E-001                  1.2307148957081358E+003                  1.8460723435622037E+002                  2.5439125234252929E-002                  5.9702984021240871E-002                 -9.6079314513340758E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.7967490939510378E+050                 -8.7189246306911029E+036                  0.0000000000000000E+000                 -8.7189246306911029E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       6                                      430                  9.9299200000000001E+003                  3.3959062302381238E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9812782503244213E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9812782503244213E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5845494016623918E+000                 -3.9838428807020234E+000                 -1.6383670828112979E+000                  6.8908930519814104E+000                  0.0000000000000000E+000                  2.0866554440651402E+001                  5.0383328304558219E+000                  6.5016425811803726E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  6.0000000000000000E+000                  9.9299200000000001E+003                  5.5954218021777047E+000                  1.0897259589716074E-001                  1.2337786390928518E+003                  1.8506679586392775E+002                  2.5312940229238176E-002                  5.9406840923994272E-002                 -9.1572393748249409E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.7898041515895761E+050                 -8.8441978287905848E+036                  0.0000000000000000E+000                 -8.8441978287905848E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       7                                      427                  1.2915904000000000E+004                  3.4750874762857489E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9813049607290150E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9813049607290150E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5845669679415870E+000                 -3.9837725417589605E+000                 -1.6383670458981572E+000                  6.8908929781551285E+000                  0.0000000000000000E+000                  2.0866554471289081E+001                  5.0383328521184705E+000                  6.5016421753136875E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  7.0000000000000000E+000                  1.2915904000000000E+004                  5.5445510705234380E+000                  1.0831110872588426E-001                  1.2375404252050357E+003                  1.8563106378075537E+002                  2.5159285220003276E-002                  5.9046228580737159E-002                 -8.6024286738053471E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.7813239061774519E+050                 -8.9994709048643057E+036                  0.0000000000000000E+000                 -8.9994709048643057E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       8                                      427                  1.6499084800000001E+004                  3.5542687223333735E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9816690511246042E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9816690511246042E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5845879853476741E+000                 -3.9836873587478689E+000                 -1.6383664892047849E+000                  6.8908918647683839E+000                  0.0000000000000000E+000                  2.0866554512433606E+001                  5.0383328807933241E+000                  6.5016416874873206E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  8.0000000000000000E+000                  1.6499084800000001E+004                  5.4826131611604270E+000                  1.0750297401948181E-001                  1.2421832124904670E+003                  1.8632748187357001E+002                  2.4971565864031951E-002                  5.8605670754678624E-002                 -7.9152454632745534E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.7709284225334761E+050                 -9.1933122263773709E+036                  0.0000000000000000E+000                 -9.1933122263773709E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       9                                      427                  1.9146277134217562E+004                  3.4227854965166231E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9816630540089690E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997892108E-001                  9.9816630540089690E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5846035174310362E+000                 -3.9836244079965812E+000                 -1.6383660779958653E+000                  6.8908910423505452E+000                  0.0000000000000000E+000                  2.0866554542833018E+001                  5.0383329019844725E+000                  6.5016413263902111E+000                  1.3380205271410872E+000                  5.0000000000000000E-001                  4.0424834364199631E+000                  2.4700332912822625E-035                  9.8613577554159815E-001                  6.6725474736299380E-005                  1.2515829589099784E-004                  5.4971012811150489E-005                  1.2836445659344565E-004                  6.0796043222169087E-008                  1.4792002972151078E-001                                        0                                        2                  9.0000000000000000E+000                  1.9146277134217566E+004                  5.4359480190215148E+000                  1.0689209924420548E-001                  1.2457276154224153E+003                  1.8685914231336230E+002                  2.4829667467037613E-002                  5.8272649958940492E-002                 -7.3889050947642934E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.7630444463709052E+050                 -9.4374755371563330E+036                  0.0000000000000000E+000                 -9.4374755371563330E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
