                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-macos-23.7.2"                                 "CRMATH"                               "20240527"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                           period_minutes                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                              donor_index                         point_mass_index 
                                       1                                     1976                  1.0000000000000000E+003                  3.0000000000000000E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999852973E-001                  9.9572394030059896E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999852973E-001                  9.9572394030059896E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9138820675179828E+000                 -2.4381570116096025E+000                 -1.5241894799762692E+000                  6.6625378463113529E+000                  0.0000000000000000E+000                  2.0637268599065159E+001                  4.8796899585755806E+000                  7.2535622227412393E+000                  1.3380205272641856E+000                  5.0000000000000000E-001                  4.0424834375435967E+000                  3.2451000566254758E-027                  9.8613577556125798E-001                  6.6725609802131393E-005                  1.2515829460673370E-004                  5.4971012964797136E-005                  1.2836445713922364E-004                  6.1083600859400354E-008                  1.4792002960067901E-001                                        0                                        9                  1.0000000000000000E+000                  1.0000000000000000E+003                  7.9118376939697361E+000                  1.2881177874152280E-001                  9.9883835558216379E+002                  1.8728219167165574E+002                  3.1853208798001617E-002                  6.7791692164661355E-002                 -6.1017860426329042E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6697461023305576E+050                 -2.9082447708265926E+036                  0.0000000000000000E+000                 -2.9082447708265926E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       2                                     1003                  2.2000000000000000E+003                  3.0791812460476247E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9756134679835617E-001                  9.9555073587260701E-001                  9.9999999999848843E-001                  9.9806579697617748E-001                  9.9756134679835617E-001                  9.9555073587260701E-001                  9.9999999999848843E-001                  9.9806579697617748E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9126063721700550E+000                 -2.4433208509291284E+000                 -1.5242200089401774E+000                  6.6625989042391689E+000                  0.0000000000000000E+000                  2.0637450991526112E+001                  4.8798003972722999E+000                  7.2536339242339158E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922364E-004                  6.1083600859400354E-008                  1.4792002960067893E-001                                        0                                        4                  2.0000000000000000E+000                  2.2000000000000000E+003                  7.9020267650900600E+000                  1.2870526960273382E-001                  9.9925156093439341E+002                  1.8735966767519875E+002                  3.1826870695462493E-002                  6.7735638014799843E-002                 -6.0306870929444027E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6686421226904904E+050                 -2.9152503149459048E+036                  0.0000000000000000E+000                 -2.9152503149459048E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       3                                      530                  3.6400000000000000E+003                  3.1583624920952493E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999844769E-001                  9.9794019433095538E-001                  9.9724559057447393E-001                  9.9613859744880540E-001                  9.9999999999844769E-001                  9.9794019433095538E-001                  9.9724559057447393E-001                  9.9613859744880540E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9103867619943911E+000                 -2.4522655170856371E+000                 -1.5242531216671034E+000                  6.6626651296930213E+000                  0.0000000000000000E+000                  2.0637762689874517E+001                  4.8799893599360979E+000                  7.2537524261639472E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        6                  3.0000000000000000E+000                  3.6400000000000000E+003                  7.8902302736184931E+000                  1.2857714647111862E-001                  9.9974929853730475E+002                  1.8745299347574462E+002                  3.1795187778705457E-002                  6.7668208747208872E-002                 -5.9442211363814203E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6673135060711844E+050                 -2.9237027849825166E+036                  0.0000000000000000E+000                 -2.9237027849825166E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       4                                      482                  5.3680000000000000E+003                  3.2375437381428744E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999844769E-001                  9.9604363588788924E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999844769E-001                  9.9604363588788924E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9085502932180636E+000                 -2.4596349942162874E+000                 -1.5242649226797738E+000                  6.6626887317183616E+000                  0.0000000000000000E+000                  2.0637764472534009E+001                  4.8799905300542390E+000                  7.2537515263245194E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        3                  4.0000000000000000E+000                  5.3680000000000000E+003                  7.8760406400573739E+000                  1.2842294650371297E-001                  1.0003493278353143E+003                  1.8756549896912142E+002                  3.1757056454020681E-002                  6.7587055635092153E-002                 -5.8338453019244396E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6657135987127395E+050                 -2.9339123187914686E+036                  0.0000000000000000E+000                 -2.9339123187914686E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       5                                      482                  7.4416000000000004E+003                  3.3167249841904991E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9575724544012623E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9575724544012623E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9085503379094826E+000                 -2.4596323358552294E+000                 -1.5242636828820835E+000                  6.6626862521229810E+000                  0.0000000000000000E+000                  2.0637765615524877E+001                  4.8799913318787631E+000                  7.2537500392479455E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        2                  5.0000000000000000E+000                  7.4416000000000004E+003                  7.8589640287392708E+000                  1.2823725066287706E-001                  1.0010733511158539E+003                  1.8770125333422257E+002                  3.1711136675186352E-002                  6.7489326720848480E-002                 -5.6972174042430483E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6637856293960372E+050                 -2.9462606582956913E+036                  0.0000000000000000E+000                 -2.9462606582956913E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       6                                      482                  9.9299200000000001E+003                  3.3959062302381238E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9567750974772573E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9567750974772573E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9085628173277400E+000                 -2.4595788103845786E+000                 -1.5242618789832716E+000                  6.6626826443253577E+000                  0.0000000000000000E+000                  2.0637766987387614E+001                  4.8799922948526273E+000                  7.2537482439327690E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        2                  6.0000000000000000E+000                  9.9299200000000001E+003                  7.8384009095437959E+000                  1.2801346296927113E-001                  1.0019479859693229E+003                  1.8786524736924801E+002                  3.1655797356061222E-002                  6.7371550640249384E-002                 -5.5319689044106078E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6614603193138128E+050                 -2.9612200231633685E+036                  0.0000000000000000E+000                 -2.9612200231633685E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       7                                      482                  1.2915904000000000E+004                  3.4750874762857489E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9565317557014310E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9565317557014310E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9085891948359448E+000                 -2.4594683907394650E+000                 -1.5242594241771257E+000                  6.6626777347130659E+000                  0.0000000000000000E+000                  2.0637768634005845E+001                  4.8799934509655536E+000                  7.2537460841714871E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        2                  7.0000000000000000E+000                  1.2915904000000000E+004                  7.8136216923287289E+000                  1.2774353146278500E-001                  1.0030060223444652E+003                  1.8806362918958723E+002                  3.1589047368433806E-002                  6.7229489768394116E-002                 -5.3318158842241573E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6586528368400286E+050                 -2.9793780263264177E+036                  0.0000000000000000E+000                 -2.9793780263264177E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       8                                      482                  1.6499084800000001E+004                  3.5542687223333735E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9563455686364999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9563455686364999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9086312104075565E+000                 -2.4592939080889757E+000                 -1.5242562139951041E+000                  6.6626713143490228E+000                  0.0000000000000000E+000                  2.0637770610502027E+001                  4.8799948388119940E+000                  7.2537434895557631E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        2                  8.0000000000000000E+000                  1.6499084800000001E+004                  7.7837359308689011E+000                  1.2741759208079340E-001                  1.0042880680830824E+003                  1.8830401276557797E+002                  3.1508447478489715E-002                  6.7057952798218023E-002                 -5.0889492665051481E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6552588758359517E+050                 -3.0014710486999957E+036                  0.0000000000000000E+000                 -3.0014710486999957E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                       9                                      482                  2.0798901760000001E+004                  3.6334499683809982E+000                  1.4999999999999999E-001                  3.2474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9562021831231728E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999828360E-001                  9.9562021831231728E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9086930159623265E+000                 -2.4590383932102835E+000                 -1.5242520676652982E+000                  6.6626630216894105E+000                  0.0000000000000000E+000                  2.0637772983173821E+001                  4.8799965048674574E+000                  7.2537403743959148E+000                  1.3380205272888923E+000                  5.0000000000000000E-001                  4.0424834377691141E+000                  3.2448689271768500E-027                  9.8613577550835418E-001                  6.6725246347621294E-005                  1.2515829806264989E-004                  5.4971012964797136E-005                  1.2836445713922367E-004                  6.1083600859400354E-008                  1.4792002960067890E-001                                        0                                        3                  9.0000000000000000E+000                  2.0798901760000001E+004                  7.7476530161128485E+000                  1.2702350902873896E-001                  1.0058447343241480E+003                  1.8859588768577777E+002                  3.1410996687393715E-002                  6.6850552844477815E-002                 -4.7935842917014020E-002                 -1.0000000000000000E+000                  1.4999999999999999E-001                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6511495419474755E+050                 -3.0284296826252306E+036                  0.0000000000000000E+000                 -3.0284296826252306E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
